topPostAverStayTime totalPostCount
206.91 11752
207.68 53207
1262.66 50935
961.26 7810
383.15 7540
3491.41 26078
232.42 10084
1034.55 3494
877.25 13279
4281.29 10280
4293.37 17646
1969.02 6839
2882.1 8297
291.89 3593
3740.6 5228
491.62 8191
2078.68 50365
166.54 2928
3572.11 19456
4452.69 3992
1964.63 17785
2438.93 23033
178.08 11172
1752.24 3245
4505.09 66073
1654.43 3501
754.19 3211
1281.88 15207
215.64 1615
7305.45 3042
1847.84 4217
6331.94 1621
5613.14 4878
3052.46 21215
517.3 5431
750.54 7184
1650.8 1220
967.4 1187
5318.09 4588
3366.64 2550
2851.21 11431
6926.39 1307
6734.39 10369
2701.97 2558
829.34 1637
3326.61 1450
173.94 436
7353.14 1736
6020 944
4288.15 882
3389.24 2153
579.22 678
3514.53 6682
10009.58 1078
1908.35 326
2510.66 888
117.89 258684
5589.95 2340
6097.76 1333
14859.63 4136
5066.53 1045
5936.47 2329
2632.66 2049
6649.28 700
2817.93 621
49.86 38321
4043.69 4539
4011.92 2242
4901.18 54
4415.6 2995
728.62 42259
4925.37 12892
3597.98 7312
4293.39 2509
3988.01 946
141.96 281000
703.5 72264
1579.64 23239
2068.46 37261
3071.85 10583
1604.46 38662
4166.72 2939
6837.92 1373
4733.63 292
16982.28 71
97.8 414190
186.86 51885
28.89 254023
55.02 61558
53.37 203096
21.99 1799909
70.3 131402
27.09 22157
387.26 37010
406.89 5754
239.82 27266
196.56 24224
41.31 170043
103.13 7793
311.8 38059
164.2 68290
617.48 6244
516.61 13382
659.22 4745
795.81 3729
841.7 22686
217.35 1907
378.22 3287
1567.59 14858
1295.1 12225
658.86 4385
2639.58 4855
130.52 4685
656.37 1650
740.13 979
2026.74 11570
2946.24 2088
2667.78 2859
1642.19 8864
428.81 9663
872.81 1515
1307.19 3587
5696.49 3918
243.8 1667
1135.45 1033
2086.9 7902
2687.29 3441
5079.51 3011
2527.16 3392
888.21 5526
3410.76 3219
4558.89 8849
2644.91 1483
7463.92 3655
152.15 2569
1414.36 807
1675.89 1976
4898.94 1294
4675.01 992
1388.74 1637
3899.49 1679
930.11 2927
2784.63 664
1486.54 705
6993.42 618
1121.49 1919
2580.32 343
2609.75 993
2695.26 140
3537.4 426
2505.11 1194
5423.59 415
4641.16 623
804.08 860
2984.61 77
2831.84 510
4849.44 498
10255.51 293
10494.39 369
4752.63 148
2497.49 625
2335.1 238
2611.04 123
1816.03 135
2510.4 191
20.81 582075
30.86 246341
91.91 154016
17.41 697730
30.91 170933
69.32 164134
167.8 269685
735.81 71819
70.2 241024
56.35 18094
309.73 99746
234.52 64625
201.48 75118
78.26 13505
268.99 24444
54.04 107347
35.11 279559
127.9 116937
1249.71 12452
78.39 104493
595.63 16755
770.64 24236
240.43 40616
984.98 117498
236.96 19036
419.86 59931
429.66 19637
453.58 27679
692.32 17819
171.6 33214
324.81 18764
1429.51 49891
1708.95 91803
150.24 125394
1012.41 1185034
1038.3 20267
748.75 55196
1027.51 72924
980.96 14098
119.14 82094
449.25 22318
199.09 24175
345.55 62835
513.94 26804
378.21 22877
299.25 15533
1465.62 12086
1212.81 32333
1287.27 42653
139.44 11736
451.05 10753
3681.89 27812
1005.01 62331
1804.74 17342
1072.73 14516
57.4 29741
782.54 19624
1050.16 10288
408.77 21734
1490.47 16510
803.35 18614
2502.25 28384
723.09 13352
654.88 11341
952 18529
1400 31919
45.51 10761
735.64 43278
2.73 15539070.0
1161.08 6717
33.1 1933472
119.55 143375
33.58 18862
208.04 32824
513.05 39232
1271.84 48912
792.66 30469
710.67 34098
515.95 147185
1363.57 140937
1143.16 39949
2043.35 49732
2836.46 53665
761.84 9177
836.9 61532
895.71 59395
1461.5 13684
437.78 3685
1812.04 4260
3132.94 23635
2807.18 7708
4094.46 7791
498.88 450443
5372.48 3392
1804.23 3631
5296.62 6662
2525.4 17069
989.78 9112
2462.62 29447
6057.96 13278
583.87 1918
2491.56 7354
1338.54 3363
2228.45 437
2128.25 3133
3779.35 2295
4070.92 14184
6154.2 3364
3093.17 1783
1507.67 1325
4502.09 3300
1263.3 827
7178.55 5360
11021.12 5171
4737.96 1366
5963.35 4112
1566.12 461
3917.66 506
2094.66 1339
8595.39 1821
3030.6 1734
3825.56 433
6480.74 2058
5190.67 775
5707.2 1670
12986.02 1443
487.37 323
3445.88 2428
3537.7 642
1113.28 290
280.36 1169
1055.83 211
4890.61 719
8219.37 751
3371.05 322
3445.76 404
4481.61 683
2042.44 66
23051.49 302
3994.31 473
5332.71 50
11228.59 197
4423.1 64
4077.47 284
2864.69 265
3685.83 147
6465.09 522
3640.11 169
2696.3 248
8078.2 23
5648.38 25376
537.86 17363
499.03 8215
3154.33 587
83.59 19389
432.33 10613
2271.11 4275
4264.97 127
16.58 224078
246.48 28224
297.75 2384
2333.38 2034
2319.41 23753
6030.3 7814
4076.87 4235
4476.49 1002
1917.03 71
3269.9 164
3197.88 30
792.75 1315
4217.5 5507
3383.12 4803
1134.57 394
8198.64 517
6468.92 263
8509.7 23
10491.78 17
6949.24 139
432.1 83412
158.17 78980
42.33 461317
213.04 13421
709.64 7852
390.36 31510
948.3 4333
2814.45 12786
287.94 3886
104.28 554545
3302.71 20670
3107.76 3352
4157.2 1620
6442.07 2351
800.5 16182
1948.23 65951
499.66 15396
2731.82 10488
1701.57 13404
5564.94 5459
1047.41 36
3293.93 15268
23.72 249248
25.91 896750
1086.39 17373
501.88 8220
2249.42 8209
2839.21 4548
2859.37 457
3242.18 529
28441.67 168
5763.22 32
253.5 2763435
39.05 383251
161.94 19522
42.7 161980
165.75 13263
1312.45 26144
379.19 23154
1010.13 19968
1124.09 104988
1885.94 7313
866.11 2286
2312.48 10846
2390.73 12275
2082 4616
4217.69 2464
12.12 941068
308.93 33176
1830.16 4072
495.61 1458
2390.41 2730
359.66 6115
6134.7 2389
5481.53 3483
3092.34 11154
1228.39 1347
2871.78 3553
3467.29 163
6678.12 317
139.3 238683
1341.39 59566
1546.57 23592
2349.78 12455
502.86 4550
2683.48 3589
4549.58 4401
6109.05 2711
3883.94 466
6444.3 209
354.63 26797
114.79 1879002
246.25 114528
2837.46 15435
602.21 37273
468.37 3655
616.47 6675
617.56 6229
2398.72 2226
4586.29 8504
2280.33 3306
3634.07 2027
4971.44 6143
415.39 64122
120.07 122146
745.47 104267
251.56 75258
238.4 622274
190.71 53035
1117.38 22950
2613.4 15541
356.37 972448
792.81 34693
804.83 9801
429.65 150052
2062.45 596
6733.06 53
1170.23 62
2959.29 157
3959.25 100
7338.18 29
9256.59 76
6826.3 43
3.45 2462089
14.48 530175
175.25 74765
247.27 22298
162.89 12269
784.59 98324
449.27 16459
250.17 37813
189.35 12376
260.23 20839
257.62 43977
158.47 15271
191.01 6372
1576.57 5811
2025.13 8827
1360.5 3023
1735.06 12791
2126.13 11337
1532.63 3515
1129.38 4433
1733.28 12029
1334.2 10201
1328.17 2946
808.76 11956
2223.66 3083
3015.21 7265
3966.68 12007
7377.1 6990
1742.64 1132
1216.01 1361
2245.4 3276
2174.55 1042
2303.52 1425
3665.59 5881
4526.83 4419
3632.8 5992
3966.11 1575
4431.64 4752
18372.54 901
2340.72 973
4861.72 852
2083.23 1042
3525.88 3603
3255.35 545
1190.23 477
877.49 1175
3202.76 126
7625.53 1805
4598.4 660
5248.84 182
2095.92 290
264.38 677
1718.53 352
10397.65 238
2955.46 137
8225.98 30
3963.44 60
5563.49 57
7701.72 20
479.49 42091
4723.98 46
2399.06 1541
28.54 980460
274.94 193290
379.5 169003
3247.47 13925
52.83 519498
1931.11 90206
968 118608
198.92 761738
161.06 391696
161.75 512910
150.8 450477
71.99 1428632
78.46 1112529
161.26 526297
232.18 418986
1587.83 69488
4825.53 14212
250.09 185189
35.02 1665016
159.8 589044
2403.74 70904
481.93 185128
68.26 572170
609.59 103133
9.15 3697229
304.07 484553
48.16 1086057
2949.6 25447
1208.97 50616
283.51 327388
115.76 896966
40.13 2317800
3587.49 11740
6528.59 10340
106.39 504578
94.09 937227
7464.49 11888
1527.32 78703
230.16 474372
876.05 111459
119.58 664132
670.68 64808
4278.29 6473
440.34 176516
891.77 102194
1187.55 83151
238.11 373611
1792.61 109393
107.33 470753
2018.91 8537
3088.68 27751
1647.25 78936
3359.43 24360
352.27 98927
5275.53 13153
2980.23 24349
6285.16 21657
5275.53 13153
3418.08 24810
636.12 113624
6026.3 21394
1345.49 50613
296.88 487780
44.14 1027470
118.88 879236
30.23 657077
20.42 2435238
45.07 1902880
3370.06 6204
191.31 182655
153.24 254500
5026.33 21880
2768.42 5116
212.28 593084
1695.07 107574
1412 44695
72.73 825361
387.28 210841
969.02 178507
849.01 124916
12561.56 25
755.68 95798
5244.83 5421
6269.74 19492
3896.42 100449
2196.92 3111
8513.49 1400
3889.45 19880
1941.46 16795
58.38 2819488
1913.12 72398
4105.28 35131
478.07 234142
1604 27754
773.88 32317
118.88 879236
491.67 183818
300.83 259083
27.97 2196655
21.56 1534447
176.01 647106
137.05 870620
191.31 182655
656.22 20816
45.86 1153004
92.18 693750
1077.36 116211
3616.63 14133
402.92 287237
2470.79 1029
993.24 51905
245.05 280107
4925.3 252
2959.26 4523
3503.77 40723
4.48 2023451
58.23 126536
255.09 373426
345.16 68457
3467.07 156838
1545.73 88942
4244.68 8837
12.09 3194832
484.13 53401
66.84 518607
13.47 857664
55.56 736532
2572.35 50
2846.28 67
10028.11 25
346.56 361459
2770.98 25335
109 607679
597.05 108776
8.41 2152907
473.48 100816
2094.05 21555
2993.19 18442
205.75 187102
523.31 780742
37.87 274136
1714.01 118954
302.45 169709
91.46 157600
47.47 1246008
481.5 375340
2902.88 65577
6433.38 8338
7504.79 9992
473.63 56848
16.3 1460266
1889.12 100571
6667.26 7124
553.79 226115
1621.75 62214
1.35 672625208
45.96 1627175
21.62 2694498
1039.14 56658
2492.34 60986
45.45 298325
740.38 246969
1319.46 158582
315.27 262611
63.38 419478
60.07 224228
1478 79401
222.22 184916
1221.62 12975
124.91 148197
1.32 252765951
1.42 24866921
2954.71 45489
951.7 21050
1355.28 133982
